nom,stadium,capacity,x,y,city,state,conf,logo
Atlanta United FC,Mercedes-Benz Stadium,71000,33.7554,-84.4008,Atlanta,Georgia,Eastern,https://upload.wikimedia.org/wikipedia/en/c/cd/Atlanta_United_FC_logo.svg
Austin FC,Q2 Stadium,20500,30.3964,-97.7235,Austin,Texas,Western,https://upload.wikimedia.org/wikipedia/en/d/de/Austin_FC_logo.svg
Charlotte FC,Bank of America Stadium,74867,35.2251,-80.8528,Charlotte,North Carolina,Eastern,https://upload.wikimedia.org/wikipedia/en/7/7d/Charlotte_FC_logo.svg
Chicago Fire FC,Soldier Field,61500,41.8623,-87.6167,Chicago,Illinois,Eastern,https://upload.wikimedia.org/wikipedia/en/3/39/Chicago_Fire_FC_logo.svg
FC Cincinnati,TQL Stadium,26000,39.1407,-84.5225,Cincinnati,Ohio,Eastern,https://upload.wikimedia.org/wikipedia/en/9/96/FC_Cincinnati_2021.svg
Colorado Rapids,Dick's Sporting Goods Park,18061,39.8055,-104.8919,Commerce City,Colorado,Western,https://upload.wikimedia.org/wikipedia/en/3/30/Colorado_Rapids_logo.svg
Columbus Crew,Lower.com Field,20011,39.9697,-83.0173,Columbus,Ohio,Eastern,https://upload.wikimedia.org/wikipedia/en/7/79/Columbus_Crew_SC_logo_2021.svg
D.C. United,Audi Field,20000,38.868,-77.0127,Washington,District of Columbia,Eastern,https://upload.wikimedia.org/wikipedia/en/d/d3/D.C._United_logo_2016.svg
FC Dallas,Toyota Stadium,20000,33.1544,-96.8354,Frisco,Texas,Western,https://upload.wikimedia.org/wikipedia/en/a/a9/FC_Dallas_logo.svg
Houston Dynamo FC,Shell Energy Stadium,22039,29.7526,-95.3526,Houston,Texas,Western,https://upload.wikimedia.org/wikipedia/en/0/07/Houston_Dynamo_2021.svg
Inter Miami CF,DRV PNK Stadium,18000,26.1935,-80.1656,Fort Lauderdale,Florida,Eastern,https://upload.wikimedia.org/wikipedia/en/2/2f/Inter_Miami_CF_logo.svg
LA Galaxy,Dignity Health Sports Park,27000,33.8644,-118.2611,Carson,California,Western,https://upload.wikimedia.org/wikipedia/en/1/15/LA_Galaxy_logo.svg
Los Angeles FC,BMO Stadium,22000,34.0129,-118.2841,Los Angeles,California,Western,https://upload.wikimedia.org/wikipedia/en/a/a0/Los_Angeles_FC_logo.svg
Minnesota United FC,Allianz Field,19400,44.9532,-93.1621,Saint Paul,Minnesota,Western,https://upload.wikimedia.org/wikipedia/en/a/a3/Minnesota_United_FC_logo.svg
CF Montréal,Stade Saputo,19819,45.5636,-73.5525,Montreal,Quebec,Eastern,https://upload.wikimedia.org/wikipedia/en/4/4e/CF_Montreal_logo.svg
Nashville SC,Geodis Park,30000,36.1325,-86.7564,Nashville,Tennessee,Western,https://upload.wikimedia.org/wikipedia/en/6/6d/Nashville_SC_logo.svg
New England Revolution,Gillette Stadium,65878,42.0909,-71.2643,Foxborough,Massachusetts,Eastern,https://upload.wikimedia.org/wikipedia/en/3/3c/New_England_Revolution_logo.svg
New York City FC,Yankee Stadium,28000,40.8296,-73.9262,New York,New York,Eastern,https://upload.wikimedia.org/wikipedia/en/f/f7/New_York_City_FC_logo.svg
New York Red Bulls,Red Bull Arena,25000,40.7364,-74.1502,Harrison,New Jersey,Eastern,https://upload.wikimedia.org/wikipedia/en/6/64/New_York_Red_Bulls_logo.svg
Orlando City SC,Exploria Stadium,25500,28.5411,-81.3892,Orlando,Florida,Eastern,https://upload.wikimedia.org/wikipedia/en/5/51/Orlando_City_2014.svg
Philadelphia Union,Subaru Park,18500,39.8326,-75.3782,Chester,Pennsylvania,Eastern,https://upload.wikimedia.org/wikipedia/en/7/7a/Philadelphia_Union_2019_logo.svg
Portland Timbers,Providence Park,25218,45.5217,-122.6917,Portland,Oregon,Western,https://upload.wikimedia.org/wikipedia/en/c/c2/Portland_Timbers_logo.svg
Real Salt Lake,America First Field,20500,40.5829,-111.8931,Sandy,Utah,Western,https://upload.wikimedia.org/wikipedia/en/f/f2/Real_Salt_Lake_logo.svg
San Jose Earthquakes,PayPal Park,18000,37.3516,-121.9246,San Jose,California,Western,https://upload.wikimedia.org/wikipedia/en/f/f1/San_Jose_Earthquakes_logo.svg
Seattle Sounders FC,Lumen Field,68000,47.5952,-122.3316,Seattle,Washington,Western,https://upload.wikimedia.org/wikipedia/en/5/5e/Seattle_Sounders_FC.svg
Sporting Kansas City,Children's Mercy Park,18467,39.1212,-94.8237,Kansas City,Kansas,Western,https://upload.wikimedia.org/wikipedia/en/c/ca/Sporting_Kansas_City_2016.svg
St. Louis City SC,CityPark,22500,38.6268,-90.2026,St. Louis,Missouri,Western,https://upload.wikimedia.org/wikipedia/en/4/45/St._Louis_City_SC_logo.svg
Toronto FC,BMO Field,28000,43.6333,-79.4189,Toronto,Ontario,Eastern,https://upload.wikimedia.org/wikipedia/en/b/bf/Toronto_FC_Logo_2015.svg
Vancouver Whitecaps FC,BC Place,22120,49.2767,-123.1119,Vancouver,British Columbia,Western,https://upload.wikimedia.org/wikipedia/en/f/fd/Vancouver_Whitecaps_FC_logo.svg
