nom,stadium,capacity,x,y,city,state,conf,logo
Atlanta Hawks,State Farm Arena,16600,33.7573,-84.3963,Atlanta,Georgia,Eastern,https://upload.wikimedia.org/wikipedia/en/2/24/Atlanta_Hawks_logo.svg
Boston Celtics,T.D. Garden,19156,42.3662,-71.0621,Boston,Massachusetts,Eastern,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Brooklyn Nets,Barclays Center,17732,40.6826,-73.9754,Brooklyn,New York,Eastern,https://upload.wikimedia.org/wikipedia/commons/4/44/Brooklyn_Nets_newlogo.svg
Charlotte Hornets,Spectrum Center,19077,35.2251,-80.8392,Charlotte,North Carolina,Eastern,https://upload.wikimedia.org/wikipedia/en/c/c4/Charlotte_Hornets_%282014%29.svg
Chicago Bulls,United Center,20917,41.8807,-87.6742,Chicago,Illinois,Eastern,https://upload.wikimedia.org/wikipedia/en/6/67/Chicago_Bulls_logo.svg
Cleveland Cavaliers,Rocket Mortgage FieldHouse,19432,41.4965,-81.6882,Cleveland,Ohio,Eastern,https://upload.wikimedia.org/wikipedia/fr/4/48/Cavaliers_de_Cleveland_2022.png
Dallas Mavericks,American Airlines Center,19200,32.7905,-96.8103,Dallas,Texas,Western,https://upload.wikimedia.org/wikipedia/en/9/97/Dallas_Mavericks_logo.svg
Denver Nuggets,Ball Arena,19520,39.7487,-105.0077,Denver,Colorado,Western,https://upload.wikimedia.org/wikipedia/en/7/76/Denver_Nuggets.svg
Detroit Pistons,Little Caesars Arena,20091,42.3410,-83.0552,Detroit,Michigan,Eastern,https://upload.wikimedia.org/wikipedia/commons/3/39/Logo_of_the_Detroit_Pistons.png
Golden State Warriors,Chase Center,18064,37.7679,-122.3871,San Francisco,California,Western,https://upload.wikimedia.org/wikipedia/en/0/01/Golden_State_Warriors_logo.svg
Houston Rockets,Toyota Center,18300,29.7508,-95.3621,Houston,Texas,Western,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Rockets.svg
Indiana Pacers,Gainbridge Fieldhouse,17923,39.7640,-86.1555,Indianapolis,Indiana,Eastern,https://upload.wikimedia.org/wikipedia/en/1/1b/Indiana_Pacers.svg
Los Angeles Clippers,Crypto.com Arena,19068,34.0430,-118.2673,Los Angeles,California,Western,https://upload.wikimedia.org/wikipedia/fr/b/b8/Clippers_de_Los_Angeles_2024.png
Los Angeles Lakers,Intuit Dome,18000,33.9436,-118.3444,Los Angeles,California,Western,https://upload.wikimedia.org/wikipedia/commons/3/3c/Los_Angeles_Lakers_logo.svg
Memphis Grizzlies,FedExForum,17794,35.1382,-90.0506,Memphis,Tennessee,Western,https://upload.wikimedia.org/wikipedia/en/f/f1/Memphis_Grizzlies.svg
Miami Heat,Kaseya Center,19600,25.7814,-80.1870,Miami,Florida,Eastern,https://upload.wikimedia.org/wikipedia/en/f/fb/Miami_Heat_logo.svg
Milwaukee Bucks,Fiserv Forum,17500,43.0451,-87.9173,Milwaukee,Wisconsin,Eastern,https://upload.wikimedia.org/wikipedia/en/4/4a/Milwaukee_Bucks_logo.svg
Minnesota Timberwolves,Target Center,19956,44.9795,-93.2760,Minneapolis,Minnesota,Western,https://upload.wikimedia.org/wikipedia/en/c/c2/Minnesota_Timberwolves_logo.svg
New Orleans Pelicans,Smoothie King Center,16867,29.9490,-90.0818,New Orleans,Louisiana,Western,https://upload.wikimedia.org/wikipedia/en/0/0d/New_Orleans_Pelicans_logo.svg
New York Knicks,Madison Square Garden,19812,40.7505,-73.9934,New York,New York,Eastern,https://upload.wikimedia.org/wikipedia/en/2/25/New_York_Knicks_logo.svg
Oklahoma City Thunder,Paycom Center,18203,35.4634,-97.5151,Oklahoma City,Oklahoma,Western,https://upload.wikimedia.org/wikipedia/en/5/5d/Oklahoma_City_Thunder.svg
Orlando Magic,Amway Center,18846,28.5392,-81.3839,Orlando,Florida,Eastern,https://upload.wikimedia.org/wikipedia/en/1/10/Orlando_Magic_logo.svg
Philadelphia 76ers,Wells Fargo Center,20318,39.9012,-75.1719,Philadelphia,Pennsylvania,Eastern,https://upload.wikimedia.org/wikipedia/en/0/0e/Philadelphia_76ers_logo.svg
Phoenix Suns,Footprint Center,18055,33.4457,-112.0712,Phoenix,Arizona,Western,https://upload.wikimedia.org/wikipedia/en/d/dc/Phoenix_Suns_logo.svg
Portland Trail Blazers,Moda Center,19393,45.5316,-122.6668,Portland,Oregon,Western,https://upload.wikimedia.org/wikipedia/en/2/21/Portland_Trail_Blazers_logo.svg
Sacramento Kings,Golden 1 Center,17608,38.5802,-121.4997,Sacramento,California,Western,https://upload.wikimedia.org/wikipedia/en/c/c7/SacramentoKings.svg
San Antonio Spurs,AT&T Center,18418,29.4270,-98.4375,San Antonio,Texas,Western,https://upload.wikimedia.org/wikipedia/en/a/a2/San_Antonio_Spurs.svg
Toronto Raptors,Scotiabank Arena,19800,43.6435,-79.3791,Toronto,Ontario,Eastern,https://upload.wikimedia.org/wikipedia/en/3/36/Toronto_Raptors_logo.svg
Utah Jazz,Delta Center,18306,40.7683,-111.9011,Salt Lake City,Utah,Western,https://upload.wikimedia.org/wikipedia/en/5/52/Utah_Jazz_logo_2022.svg
Washington Wizards,Capital One Arena,20456,38.8981,-77.0209,Washington,District of Columbia,Eastern,https://upload.wikimedia.org/wikipedia/en/0/02/Washington_Wizards_logo.svg
