nom,stadium,capacity,x,y,city,state,conf,logo
Arizona Cardinals,State Farm Stadium,63400,33.5276,-112.2626,Glendale,Arizona,NFC,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg
Atlanta Falcons,Mercedes-Benz Stadium,71000,33.7554,-84.4008,Atlanta,Georgia,NFC,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg
Baltimore Ravens,M&T Bank Stadium,71008,39.2779,-76.6227,Baltimore,Maryland,AFC,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg
Buffalo Bills,Highmark Stadium,71608,42.7737,-78.7867,Orchard Park,New York,AFC,https://upload.wikimedia.org/wikipedia/en/7/77/Buffalo_Bills_logo.svg
Carolina Panthers,Bank of America Stadium,74867,35.2251,-80.8528,Charlotte,North Carolina,NFC,https://upload.wikimedia.org/wikipedia/en/1/10/Carolina_Panthers_logo.svg
Chicago Bears,Soldier Field,61500,41.8623,-87.6167,Chicago,Illinois,NFC,https://upload.wikimedia.org/wikipedia/commons/5/5c/Chicago_Bears_logo.svg
Cincinnati Bengals,Paycor Stadium,65515,39.0954,-84.5160,Cincinnati,Ohio,AFC,https://upload.wikimedia.org/wikipedia/commons/8/81/Cincinnati_Bengals_logo.svg
Cleveland Browns,Cleveland Browns Stadium,67395,41.5061,-81.6995,Cleveland,Ohio,AFC,https://upload.wikimedia.org/wikipedia/en/d/d9/Cleveland_Browns_logo.svg
Dallas Cowboys,AT&T Stadium,80000,32.7473,-97.0945,Arlington,Texas,NFC,https://upload.wikimedia.org/wikipedia/en/6/64/Dallas_Cowboys_logo.svg
Denver Broncos,Empower Field at Mile High,76125,39.7439,-105.0201,Denver,Colorado,AFC,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg
Detroit Lions,Ford Field,65000,42.339,-83.0456,Detroit,Michigan,NFC,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg
Green Bay Packers,Lambeau Field,81441,44.5013,-88.0622,Green Bay,Wisconsin,NFC,https://upload.wikimedia.org/wikipedia/commons/5/50/Green_Bay_Packers_logo.svg
Houston Texans,NRG Stadium,72120,29.6847,-95.4107,Houston,Texas,AFC,https://upload.wikimedia.org/wikipedia/en/2/28/Houston_Texans_logo.svg
Indianapolis Colts,Lucas Oil Stadium,67000,39.7601,-86.1639,Indianapolis,Indiana,AFC,https://upload.wikimedia.org/wikipedia/commons/0/00/Indianapolis_Colts_logo.svg
Jacksonville Jaguars,TIAA Bank Field,67200,30.3238,-81.6372,Jacksonville,Florida,AFC,https://upload.wikimedia.org/wikipedia/en/7/74/Jacksonville_Jaguars_logo.svg
Kansas City Chiefs,Arrowhead Stadium,76416,39.049,-94.4841,Kansas City,Missouri,AFC,https://upload.wikimedia.org/wikipedia/en/e/e1/Kansas_City_Chiefs_logo.svg
Las Vegas Raiders,Allegiant Stadium,65000,36.0909,-115.1839,Las Vegas,Nevada,AFC,https://upload.wikimedia.org/wikipedia/en/7/72/Las_Vegas_Raiders_logo.svg
Los Angeles Chargers,SoFi Stadium,70240,33.9535,-118.3397,Inglewood,California,AFC,https://upload.wikimedia.org/wikipedia/en/7/72/Los_Angeles_Chargers_logo.svg
Los Angeles Rams,SoFi Stadium,70240,33.9535,-118.3397,Inglewood,California,NFC,https://upload.wikimedia.org/wikipedia/en/8/8d/Los_Angeles_Rams_logo.svg
Miami Dolphins,Hard Rock Stadium,65326,25.958,-80.2389,Miami Gardens,Florida,AFC,https://upload.wikimedia.org/wikipedia/en/3/37/Miami_Dolphins_logo.svg
Minnesota Vikings,U.S. Bank Stadium,66655,44.9737,-93.2574,Minneapolis,Minnesota,NFC,https://upload.wikimedia.org/wikipedia/en/4/48/Minnesota_Vikings_logo.svg
New England Patriots,Gillette Stadium,65878,42.0909,-71.2643,Foxborough,Massachusetts,AFC,https://upload.wikimedia.org/wikipedia/en/b/b9/New_England_Patriots_logo.svg
New Orleans Saints,Caesars Superdome,73208,29.9511,-90.0812,New Orleans,Louisiana,NFC,https://upload.wikimedia.org/wikipedia/commons/5/50/New_Orleans_Saints_logo.svg
New York Giants,MetLife Stadium,82500,40.8135,-74.0745,East Rutherford,New Jersey,NFC,https://upload.wikimedia.org/wikipedia/en/6/60/New_York_Giants_logo.svg
New York Jets,MetLife Stadium,82500,40.8135,-74.0745,East Rutherford,New Jersey,AFC,https://upload.wikimedia.org/wikipedia/en/6/6b/New_York_Jets_logo.svg
Philadelphia Eagles,Lincoln Financial Field,69596,39.9008,-75.1675,Philadelphia,Pennsylvania,NFC,https://upload.wikimedia.org/wikipedia/en/8/8e/Philadelphia_Eagles_logo.svg
Pittsburgh Steelers,Acrisure Stadium,68400,40.4468,-80.0158,Pittsburgh,Pennsylvania,AFC,https://upload.wikimedia.org/wikipedia/commons/d/de/Pittsburgh_Steelers_logo.svg
San Francisco 49ers,Levi's Stadium,68500,37.403,-121.9692,Santa Clara,California,NFC,https://upload.wikimedia.org/wikipedia/en/3/3e/San_Francisco_49ers_logo.svg
Seattle Seahawks,Lumen Field,68000,47.5952,-122.3316,Seattle,Washington,NFC,https://upload.wikimedia.org/wikipedia/en/8/8e/Seattle_Seahawks_logo.svg
Tampa Bay Buccaneers,Raymond James Stadium,65890,27.9759,-82.5033,Tampa,Florida,NFC,https://upload.wikimedia.org/wikipedia/en/a/a2/Tampa_Bay_Buccaneers_logo.svg
Tennessee Titans,Nissan Stadium,69143,36.1665,-86.7713,Nashville,Tennessee,AFC,https://upload.wikimedia.org/wikipedia/en/c/c1/Tennessee_Titans_logo.svg
Washington Commanders,FedExField,82000,38.9078,-76.8645,Landover,Maryland,NFC,https://upload.wikimedia.org/wikipedia/en/6/67/Washington_Commanders_logo.svg
